job_title,salary_min,salary_max,company_name,rating,location_city,location_state,hq_city,hq_state,founded,industry
Data Engineer,80000,150000,Sagence,4.5,New York, NY,Chicago, IL,2009,Consulting
Senior Data Engineer (Healthcare Domain experience required),80000,150000,Enterprise Integration,3.4,New York, NY,Jacksonville, FL,1998,IT Services
Data Engineers,80000,150000,Maestro Technologies,5.0,New York, NY,Trenton, NJ,2003,IT Services
Client Trade Support Engineer,80000,150000,Jane Street,4.8,New York, NY,New York, NY,2000,Investment Banking & Asset Management
Operations Engineer,80000,150000,Oscar Health,3.7,New York, NY,New York, NY,2012,Insurance Agencies & Brokerages
Senior Data Engineer,80000,150000,Affinity Solutions,3.0,New York, NY,New York, NY,1998,Advertising & Marketing
Data Engineer,80000,150000,NJF Global Holdings,4.2,New York, NY,London, United Kingdom,2003,Staffing & Outsourcing
Data Research Developer,80000,150000,Teza Technologies,4.3,New York, NY,Chicago, IL,2009,Financial Analytics & Research
Data Center Engineer,80000,150000,Jane Street,4.8,New York, NY,New York, NY,2000,Investment Banking & Asset Management
Data Engineer - Health Data Engineering,80000,150000,Twitter,4.0,New York, NY,San Francisco, CA,2006,Internet
Software Engineer,80000,150000,Verra Mobility,3.9,Jersey City, NJ,Mesa, AZ,1987,Transportation Management
Senior BI Engineer,80000,150000,7Park Data,3.9,New York, NY,New York, NY,2012,Research & Development
Principal Software Engineer - Data Cloud,80000,150000,Veeva Systems,3.5,New York, NY,Pleasanton, CA,2007,Enterprise Software & Network Solutions
Data Engineer,80000,150000,PulsePoint,4.4,New York, NY,New York, NY,2011,Internet
Software Engineer (Python),80000,150000,OpenSlate,5.0,New York, NY,New York, NY,2012,Publishing
Data Scientist/ML Engineer,80000,150000,PA Consulting,3.3,New York, NY,London, United Kingdom,1943,Consulting
Senior Data Engineer - 70570BR,80000,150000,Aetna,3.3,New York, NY,Hartford, CT,1853,Insurance Carriers
Data Engineer - Talent Pool,80000,150000,Colgate-Palmolive,4.1,New York, NY,New York, NY,1806,Consumer Products Manufacturing
eCom Data Engineer,80000,150000,PepsiCo,3.7,New York, NY,Purchase, NY,1965,Food & Beverage Manufacturing
Data Engineer,80000,150000,Spotify,3.8,New York, NY,Stockholm, Sweden,2006,Internet
Data Engineer,80000,150000,Freestar,4.9,New York, NY,Phoenix, AZ,2016,Advertising & Marketing
"Data Scientist/Engineer (SAS, R code, Python & Sql (Open to remote Workers))",80000,150000,Medidata Solutions,4.3,New York, NY,New York, NY,1999,Enterprise Software & Network Solutions
Data Engineer,80000,150000,Cockroach Labs,4.7,New York, NY,New York, NY,2015,Computer Hardware & Software
Software Engineer (Multiple Levels) - NYC,80000,150000,T. Rowe Price,3.6,New York, NY,Baltimore, MD,1937,Investment Banking & Asset Management
Staff Data Engineer,80000,150000,DoubleVerify,3.6,New York, NY,New York, NY,2008,Internet
Data Engineer,80000,150000,FourSquare,2.5,New York, NY,New York, NY,2009,Internet
Data Engineers,73000,94000,Maestro Technologies,5.0,New York, NY,Trenton, NJ,2003,IT Services
Data Engineer,73000,94000,Daily Harvest,3.5,New York, NY,New York, NY,2015,Food & Beverage Manufacturing
"Data Engineer, Enterprise Analytics",73000,94000,Healthfirst,3.1,New York, NY,New York, NY,1993,Insurance Carriers
Data Engineer,73000,94000,Point72,3.9,New York, NY,Stamford, CT,2014,Investment Banking & Asset Management
Site Reliability Engineer,73000,94000,MayStreet,4.2,New York, NY,New York, NY,2012,Financial Analytics & Research
Quality Engineer,73000,94000,Arrow Fastener,2.9,Saddle Brook, NJ,Saddle Brook, NJ,1929,Consumer Products Manufacturing
Data Engineer (Remote),73000,94000,New York Times,3.8,New York, NY,New York, NY,1896,News Outlet
Data Engineer,73000,94000,SADA,4.7,New York, NY,North Hollywood, CA,2000,IT Services
Data Engineer,73000,94000,Larsen & Toubro Infotech Limited,3.5,New York, NY,Mumbai, India,1997,IT Services
Data Engineer,73000,94000,"Peloton Interactive, Inc.",3.8,New York, NY,New York, NY,2012,"Health, Beauty, & Fitness"
Data Engineer,73000,94000,Columbia University,3.9,New York, NY,New York, NY,1938,Colleges & Universities
Data Engineer,73000,94000,Bark & Co,2.7,New York, NY,New York, NY,2011,Pet & Pet Supplies Stores
Future Opportunity: Data Engineer,73000,94000,AVANADE,3.9,New York, NY,Seattle, WA,2000,IT Services
Data Engineer,73000,94000,New York Times,3.8,New York, NY,New York, NY,1896,News Outlet
Apple Music - Software Data Engineer,73000,94000,Apple,4.1,New York, NY,Cupertino, CA,1976,Computer Hardware & Software
Data Engineer (Web Scraping) - Full Time,73000,94000,Point72,3.9,New York, NY,Stamford, CT,2014,Investment Banking & Asset Management
Data Engineer,73000,94000,CommonBond,3.8,New York, NY,New York, NY,2011,Lending
Software Engineer,73000,94000,Reaktor,4.8,New York, NY,Helsinki, Finland,2000,Computer Hardware & Software
Data Engineer,73000,94000,Mark43,4.4,New York, NY,New York, NY,2012,Enterprise Software & Network Solutions
Data Engineer,73000,94000,B12,4.7,New York, NY,New York, NY,2015,Internet
Data Engineer,73000,94000,Seated,4.7,New York, NY,New York, NY,2017,Internet
